Level;Item;Quantity;UM;Mat-No/Doc;Kind;PTYP;Validfrom;Validto;Docu-No/He
4;0017;2,000;ST;00000000-006-5;05;03;01.10.1985;31.12.9999;OKVTSVH IZTFUOZ
4;0006;2,000;ST;00000000-006-6;05;03;01.10.1985;31.12.9999;UIIRXLF DCTPKWK
4;0014;1,000;ST;00000000-006-7;05;03;01.07.2005;31.12.9999;QIBIZDR RTFICFC
3;0036;1,000;ST;00000000-006-8;03;03;01.07.2020;31.12.9999;ZJBSLQE XAMTUUK
4;0001;1,000;ST;00000000-006-9;03;03;01.10.1985;31.12.9999;ZJBSLQE XAMTUUK
4;0006;4,000;ST;00000000-007-0;05;03;01.10.1985;31.12.9999;ICEIYWR RRXULID
4;0014;1,000;ST;00000000-007-1;05;03;01.10.1985;31.12.9999;OCIVGCE SSXYFFT
4;0019;2,000;ST;00000000-007-2;05;03;01.10.1985;31.12.9999;IOOEJGJ RBZDIKI
4;0037;2,000;ST;00000000-001-2;05;03;01.07.2006;31.12.9999;IHRRFBR JPZWKSU
4;0038;1,000;ST;00000000-006-7;05;03;01.10.1985;31.12.9999;QIBIZDR RTFICFC
4;0004;1,000;SA;00000000-007-3;05;03;01.10.1985;31.12.9999;RDXAIBJ XDYNRGP
3;0039;2,000;ST;00000000-007-4;03;03;01.07.2020;31.12.9999;KGKTRYI DIPBBTW
4;0001;0,070;M;00000000-007-5;05;05;01.10.1985;31.12.9999;BIRYRVA OAXWEJK
3;0040;1,000;ST;00000000-007-6;03;03;01.07.2020;31.12.9999;KQRRATH UPKQMAO
4;0001;1,000;ST;00000000-007-7;03;03;01.10.1985;31.12.9999;KQRRATH UPKQMAO
4;0016;8,000;ST;00000000-007-8;05;03;01.10.1985;31.12.9999;UHYHHMW VHPAKPV
3;0041;1,000;ST;00000000-007-9;03;03;01.07.2020;31.12.9999;GMWNOXS SYKAAPG
4;0001;1,000;ST;00000000-008-0;03;03;01.01.2021;31.12.9999;THHFVLT SZPWWOP
4;0016;3,000;ST;00000000-008-1;05;03;01.10.1985;31.12.9999;JCRPELO DODXCWB
4;0017;3,000;ST;00000000-008-2;05;03;01.10.1985;31.12.9999;IOHGXPC ZHUPDBN
4;0018;3,000;ST;00000000-008-3;05;03;01.01.2021;31.12.9999;NHQRICJ WTKWESP
4;0006;4,000;ST;00000000-005-3;05;03;01.10.1985;31.12.9999;CDTLZUD QPGPTGJ
4;0014;4,000;ST;00000000-008-4;05;03;01.10.1985;31.12.9999;TDHSPRJ LIQZYNJ
4;0019;4,000;ST;00000000-005-2;05;03;01.10.1985;31.12.9999;AZIFCJG WADGGTM
3;0042;1,000;ST;00000000-008-5;03;03;01.01.2021;31.12.9999;UWAAJAP HNFTUSM
4;0001;1,000;ST;00000000-008-6;05;03;01.01.1985;31.12.9999;VWKTXMG EMWOKEC
3;0043;1,000;ST;00000000-008-7;03;03;01.07.2020;31.12.9999;YZSKPAB WKVURAL
4;0001;1,000;ST;00000000-008-8;03;03;01.10.1985;31.12.9999;YZSKPAB WKVURAL
4;0016;2,000;ST;00000000-008-9;05;03;01.10.1985;31.12.9999;PCZVZXQ LGGABCQ
4;0017;2,000;ST;00000000-009-0;05;03;01.10.1985;31.12.9999;KDMZVNI ONJFRKY
4;0018;2,000;ST;00000000-001-7;05;03;01.10.1985;31.12.9999;DCWOXQF UMRMDIR
4;0006;2,000;ST;00000000-009-1;03;03;01.10.1985;31.12.9999;LOYFMUO KXTKHMN
5;0001;0,024;M;00000000-009-2;05;05;01.10.1985;31.12.9999;TLJOYLL HJVVMDB
4;0014;2,000;ST;00000000-001-2;05;03;01.10.1985;31.12.9999;IHRRFBR JPZWKSU
4;0019;2,000;ST;00000000-009-3;05;03;01.10.1985;31.12.9999;OPQIMRA SIVOHCZ
3;0044;1,000;ST;00000000-009-4;03;03;01.07.2020;31.12.9999;FTPOBVU CARTZNE
2;0023;1,000;ST;00000000-009-5;07;01;01.05.2023;31.12.9999;ECKZRMW HDBUUNB
3;0005;1,000;ST;00000000-009-6;04;01;01.05.2023;31.12.9999;DOZQJMB PGGKIHL
3;0006;1,000;ST;00000000-009-7;05;03;01.05.2023;31.12.9999;PYPNDVN FLPQPDY
3;0011;2,000;ST;00000000-009-8;05;03;01.05.2023;31.12.9999;QNUGISY MRCPBDP
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
0;0007;1,000;;00000000-000-6;02;04;;;OATNQUX PSHPVCV
3;0012;4,000;ST;00000000-009-9;05;03;01.05.2023;31.12.9999;WDPIFKS EMGRROX
3;0013;2,000;M;00000000-010-0;05;03;01.05.2023;31.12.9999;DKAUIDY SMDAOMD
3;0045;14,000;ST;00000000-010-1;05;03;01.05.2023;31.12.9999;HNXCRXI HZHJTFM
3;0046;4,000;ST;00000000-010-2;05;03;01.05.2023;31.12.9999;ANPQEBJ HBVSAQD
3;0014;4,000;ST;00000000-010-3;05;03;01.05.2023;31.12.9999;QLIRXPX ZJOZQPV
3;0015;4,000;ST;00000000-009-0;05;03;01.05.2023;31.12.9999;KDMZVNI ONJFRKY
3;0020;4,000;ST;00000000-010-4;05;03;01.05.2023;31.12.9999;KSKPXMR YOJJLTZ
3;0047;1,000;M;00000000-010-0;05;03;01.05.2023;31.12.9999;DKAUIDY SMDAOMD
3;0004;1,000;ST;00000000-010-5;07;01;01.05.2023;31.12.9999;LCKRGFR OZSVPPB
4;0001;1,000;ST;00000000-010-6;03;03;01.05.2023;31.12.9999;EBQNLOX JKCCELS
5;0001;5,126;M2;00000000-010-7;05;05;01.10.1985;31.12.9999;WYHLVXN HEIJJDV
5;0006;1,000;ST;00000000-010-8;03;03;01.10.1985;31.12.9999;TSTIWQU MTVZFBC
5;0014;1,000;ST;00000000-010-9;03;03;01.10.1985;31.12.9999;RHOCTZR BKJTRNX
5;0037;1,000;ST;00000000-011-0;03;03;01.10.1985;31.12.9999;XHECKCP SJUHVXK
5;0038;2,000;ST;00000000-011-1;03;03;01.10.1985;31.12.9999;EMLQWLP WUHPEDR
5;0004;2,000;ST;00000000-011-2;03;03;01.10.1985;31.12.9999;IJOFCWP LRXVZMZ
5;0021;10,000;ST;00000000-011-3;05;03;01.10.1985;31.12.9999;YTUYBHW XYDVCHA
5;0048;4,000;ST;00000000-011-4;05;03;01.10.1985;31.12.9999;NWMFYYJ ZGCSBUS
5;0049;12,000;ST;00000000-011-5;05;03;01.10.1985;31.12.9999;UNUXZQY BMRDWUK
5;0050;8,000;ST;00000000-011-6;05;03;01.10.1985;31.12.9999;LKJAPOY ULQBNPZ
5;0051;3,000;ST;00000000-011-7;05;03;01.10.1985;31.12.9999;NSFZNED KJXCQCL
5;0052;19,000;ST;00000000-011-8;05;03;01.10.1985;31.12.9999;KUBBDYN VSSMFTZ
5;0053;2,000;ST;00000000-011-9;05;03;01.10.1985;31.12.9999;CDWLBZO ULDJQHB
5;0054;1,000;ST;00000000-012-0;03;03;01.10.1985;31.12.9999;AMXYMMK QPZKQLR
5;0055;1,000;ST;00000000-012-1;03;03;01.10.1985;31.12.9999;ZNNHKDH FBRPCXP
5;0056;1,000;ST;00000000-012-2;03;03;01.10.1985;31.12.9999;IXSMRMV GUOTHPL
5;0057;1,000;ST;00000000-012-3;03;03;01.10.1985;31.12.9999;OXBKNXU YPBGETV
5;0058;1,000;ST;00000000-012-4;03;03;01.10.1985;31.12.9999;KFIJOUH RGXZZWS
4;0016;5,000;ST;00000000-012-5;03;03;01.05.2023;31.12.9999;SZODOWR EQFPAUK
5;0001;5,000;ST;00000000-012-6;03;03;01.10.1985;31.12.9999;HQGMSZV PFJSUEW
6;0001;0,250;M;00000000-012-7;05;05;01.01.1985;31.12.9999;QDLNBCF QNDPXDG
5;0016;5,000;ST;00000000-012-8;03;03;01.10.1985;31.12.9999;PDUOZXJ PQMGWXD
6;0001;0,725;M;00000000-012-9;05;05;01.01.1985;31.12.9999;UEKTSUN MTBZSER
5;0017;5,000;ST;00000000-013-0;05;03;01.10.1985;31.12.9999;DCWVWPZ CPEUGNB
5;0018;5,000;ST;00000000-013-1;05;03;01.10.1985;31.12.9999;MYGEECV ISWFJTC
5;0006;5,000;ST;00000000-013-2;05;03;01.10.1985;31.12.9999;JSOGSRM OPLZHDR
4;0006;1,000;ST;00000000-013-3;05;03;01.05.2023;31.12.9999;PGYLHMA VUUNCVU
4;0014;1,000;ST;00000000-006-4;05;03;01.05.2023;31.12.9999;LZCGMAQ ZFIDRGZ
4;0019;1,000;ST;00000000-013-4;05;03;01.05.2023;31.12.9999;KAQNWXS XPOOVPY
4;0037;8,000;ST;00000000-009-1;03;03;01.05.2023;31.12.9999;LOYFMUO KXTKHMN
5;0001;0,096;M;00000000-009-2;05;05;01.10.1985;31.12.9999;TLJOYLL HJVVMDB
4;0038;8,000;ST;00000000-001-7;05;03;01.05.2023;31.12.9999;DCWOXQF UMRMDIR
3;0051;1,000;ST;00000000-013-5;03;03;01.05.2023;31.12.9999;JVFXZES LXTBGBO
4;0001;1,000;ST;00000000-013-6;03;03;01.01.2023;31.12.9999;XTSQWRE OUMLFYS
4;0016;2,000;ST;00000000-013-7;05;03;01.10.1985;31.12.9999;QKXLXBL ZPQCRCY
4;0017;2,000;ST;00000000-013-8;05;03;01.10.1985;31.12.9999;CWLPVEZ WVXZXUU
3;0052;1,000;ST;00000000-013-9;03;03;01.05.2023;31.12.9999;ATLTFAU NWQJACX
4;0001;1,000;ST;00000000-014-0;03;03;01.01.2023;31.12.9999;DCNEPFM YAWJUSU
4;0016;2,000;ST;00000000-013-7;05;03;01.10.1985;31.12.9999;QKXLXBL ZPQCRCY
4;0017;2,000;ST;00000000-013-8;05;03;01.10.1985;31.12.9999;CWLPVEZ WVXZXUU
3;0023;5,000;ST;00000000-014-1;03;03;01.05.2023;31.12.9999;PZMZHRY WFJMBDP
4;0001;5,000;ST;00000000-014-2;03;03;01.10.1985;31.12.9999;PZMZHRY WFJMBDP
5;0001;1,950;M;00000000-014-3;05;05;01.10.1985;31.12.9999;ZVFVCBT TJUIOIC
5;0016;10,000;ST;00000000-011-3;05;03;16.05.2007;31.12.9999;YTUYBHW XYDVCHA
4;0016;10,000;ST;00000000-014-4;05;03;01.10.1985;31.12.9999;SOJKHAY XDKSKZG
3;0059;1,000;ST;00000000-014-5;03;03;01.05.2023;31.12.9999;WESNBWY FQNRRAW
4;0001;1,000;ST;00000000-014-6;03;03;01.10.1985;31.12.9999;WESNBWY FQNRRAW
5;0001;0,390;M;00000000-014-3;05;05;01.10.1985;31.12.9999;ZVFVCBT TJUIOIC
5;0016;2,000;ST;00000000-011-3;05;03;01.10.1985;31.12.9999;YTUYBHW XYDVCHA
4;0016;2,000;ST;00000000-014-4;05;03;01.10.1985;31.12.9999;SOJKHAY XDKSKZG
3;0024;1,000;ST;00000000-014-7;03;03;01.05.2023;31.12.9999;PSRSJWE QZBUDRC
4;0001;1,000;ST;00000000-014-8;03;03;01.10.1985;31.12.9999;PSRSJWE QZBUDRC
5;0001;0,224;M;00000000-014-3;05;05;01.10.1985;31.12.9999;ZVFVCBT TJUIOIC
5;0016;2,000;ST;00000000-011-3;05;03;01.10.1985;31.12.9999;YTUYBHW XYDVCHA
4;0016;2,000;ST;00000000-014-4;05;03;01.10.1985;31.12.9999;SOJKHAY XDKSKZG
3;0025;1,000;ST;00000000-014-9;03;03;01.05.2023;31.12.9999;SVCRCMW FCUMLDM
4;0001;1,000;ST;00000000-015-0;03;03;01.01.2007;31.12.9999;XWSPZBH KTAADCG
5;0001;0,780;M;00000000-014-3;05;05;01.10.1985;31.12.9999;ZVFVCBT TJUIOIC
5;0016;3,000;ST;00000000-011-3;05;03;01.10.1985;31.12.9999;YTUYBHW XYDVCHA
4;0016;3,000;ST;00000000-014-4;05;03;01.10.1985;31.12.9999;SOJKHAY XDKSKZG
3;0026;1,000;ST;00000000-015-1;07;01;01.05.2023;31.12.9999;EQSYFWN VKAOOZK
4;0001;1,000;ST;00000000-015-2;03;03;01.05.2023;31.12.9999;EQSYFWN VKAOOZK
5;0001;0,299;M2;00000000-015-3;05;05;01.10.1985;31.12.9999;QWFYSRS DIFDPUH
5;0016;6,000;ST;00000000-015-4;05;03;01.10.1985;31.12.9999;BCQZJQA LCOFHZC
4;0016;6,000;ST;00000000-015-5;03;03;01.05.2023;31.12.9999;LSBKCXU WUCKKNB
5;0001;0,222;M;00000000-015-6;05;05;01.01.1985;31.12.9999;HNUQBFU IJPFJJE
4;0017;6,000;ST;00000000-015-7;05;03;01.05.2023;31.12.9999;TRSLSQS QDTNXME
4;0018;6,000;ST;00000000-015-8;05;03;01.05.2023;31.12.9999;IOOYCYE PTPFTHD
3;0029;1,000;ST;00000000-015-9;07;01;01.05.2023;31.12.9999;JMFSOPD DJZSXJR
4;0001;1,000;ST;00000000-016-0;03;03;01.05.2023;31.12.9999;JMFSOPD DJZSXJR
4;0016;4,000;ST;00000000-015-7;05;03;01.05.2023;31.12.9999;TRSLSQS QDTNXME
4;0017;4,000;ST;00000000-016-1;05;03;01.05.2023;31.12.9999;JBDESPZ UAGHKAE
4;0018;4,000;ST;00000000-016-2;05;03;01.05.2023;31.12.9999;XDFYIPG RNUIXBE
3;0060;1,000;ST;00000000-016-3;07;01;01.05.2023;31.12.9999;EPFFPMF RMBASDP
4;0001;1,000;ST;00000000-016-4;03;03;01.05.2023;31.12.9999;EPFFPMF RMBASDP
4;0016;2,000;ST;00000000-016-1;05;03;01.05.2023;31.12.9999;JBDESPZ UAGHKAE
4;0017;2,000;ST;00000000-015-7;05;03;01.05.2023;31.12.9999;TRSLSQS QDTNXME
4;0018;2,000;ST;00000000-016-2;05;03;01.05.2023;31.12.9999;XDFYIPG RNUIXBE
4;0006;3,000;ST;00000000-016-5;05;03;01.05.2023;31.12.9999;LZLDPYF GUTOULS
3;0061;1,000;ST;00000000-016-6;07;01;01.05.2023;31.12.9999;EPFFPMF RMBASDP
4;0001;1,000;ST;00000000-016-4;03;03;01.05.2023;31.12.9999;EPFFPMF RMBASDP
4;0016;2,000;ST;00000000-016-1;05;03;01.05.2023;31.12.9999;JBDESPZ UAGHKAE
4;0017;2,000;ST;00000000-015-7;05;03;01.05.2023;31.12.9999;TRSLSQS QDTNXME
4;0018;2,000;ST;00000000-016-2;05;03;01.05.2023;31.12.9999;XDFYIPG RNUIXBE
3;0062;1,000;ST;00000000-016-7;07;01;01.05.2023;31.12.9999;OIVVNUP LABVNZG
4;0001;1,000;ST;00000000-016-8;03;03;01.05.2023;31.12.9999;REYPLRF OJFIDZY
5;0001;0,705;M2;00000000-016-9;05;05;01.10.1985;31.12.9999;UMQVBND DFEFIZA
5;0016;10,000;ST;00000000-017-0;05;03;01.10.1985;31.12.9999;YJIBYZO QVZIUMA
4;0016;2,000;GB;00000000-017-1;05;03;01.05.2023;31.12.9999;YQNJVQQ OLAMMCN
4;0017;4,000;ST;00000000-017-2;05;03;01.05.2023;31.12.9999;YTJDRFP ZWGFAKE
3;0063;1,000;ST;00000000-017-3;07;01;01.05.2023;31.12.9999;QRMHADE PRWMIJJ
4;0001;1,000;ST;00000000-017-4;03;03;01.05.2023;31.12.9999;QRMHADE PRWMIJJ
5;0001;3,000;M;00000000-017-5;05;05;01.10.1985;31.12.9999;YIOMWBR BPFCGKZ
5;0016;2,000;ST;00000000-011-7;05;03;01.10.1985;31.12.9999;NSFZNED KJXCQCL
4;0016;3,000;ST;00000000-017-6;05;03;01.05.2023;31.12.9999;TGDVGMX TNELZIJ
3;0034;1,000;ST;00000000-017-7;03;03;01.05.2023;31.12.9999;CNQIWFA ORTDJMO
3;0035;1,000;ST;00000000-017-8;03;03;01.05.2023;31.12.9999;BHFUSFV KSRCWME
3;0064;1,000;ST;00000000-017-9;03;03;01.05.2023;31.12.9999;UJAXSIZ COTJEYE
3;0065;2,200;M;00000000-018-0;05;03;01.05.2023;31.12.9999;OKRXAJR GZQGCNS
3;0036;26,000;ST;00000000-018-1;03;03;01.05.2023;31.12.9999;UYGZTWT ISGQDPZ
4;0001;0,546;M;00000000-018-2;05;05;01.10.1985;31.12.9999;SLKOHRV HAEWCMO
3;0039;5,000;ST;00000000-018-3;03;03;01.05.2023;31.12.9999;KJQPVGH PMKKCLG
4;0001;0,245;M;00000000-018-4;05;05;01.01.1985;31.12.9999;RKHWTSN OGSVWXM
3;0040;1,000;ST;00000000-018-5;07;01;01.05.2023;31.12.9999;YCDQJEX JQAIJSC
4;0001;1,000;ST;00000000-018-6;03;03;01.05.2023;31.12.9999;YCDQJEX JQAIJSC
5;0001;1,000;ST;00000000-018-7;03;03;01.10.1985;31.12.9999;YADEFOP PXZJUAV
5;0016;20,000;ST;00000000-017-0;05;03;01.10.1985;31.12.9999;YJIBYZO QVZIUMA
5;0017;4,000;ST;00000000-018-8;05;03;01.10.1985;31.12.9999;DYTZJUR KHTTGJI
4;0016;4,000;ST;00000000-018-9;05;03;01.05.2023;31.12.9999;UGOKAKQ GORQIWI
4;0018;4,000;ST;00000000-019-0;05;03;01.05.2023;31.12.9999;EDHOECF RGIZXLN
4;0006;1,000;GB;00000000-019-1;05;03;01.05.2023;31.12.9999;SKLYFHU RLZUQFX
4;0014;1,000;ST;00000000-019-2;05;03;01.05.2023;31.12.9999;KCIAXIG EMECGDC
4;0019;1,000;ST;00000000-019-3;05;03;01.05.2023;31.12.9999;ZFKCZCN DGRDPNN
4;0037;3,000;GB;00000000-017-1;05;03;01.05.2023;31.12.9999;YQNJVQQ OLAMMCN
4;0038;6,000;ST;00000000-017-2;05;03;01.05.2023;31.12.9999;YTJDRFP ZWGFAKE
4;0004;1,000;ROL;00000000-019-4;05;03;01.05.2023;31.12.9999;RIUOWIH EAZZCHO
3;0066;1,000;ST;00000000-019-5;03;03;01.05.2023;31.12.9999;XGWYESR FORQDKG
4;0001;1,000;ST;00000000-019-6;03;03;01.10.1985;31.12.9999;XGWYESR FORQDKG
4;0016;4,000;ST;00000000-019-7;05;03;01.10.1985;31.12.9999;WQWIVTM EKOKUVV
4;0017;4,000;ST;00000000-019-8;03;03;01.10.1985;31.12.9999;FLCWVYG ZVFLVVL
5;0001;0,064;M;00000000-019-9;05;05;01.01.1985;31.12.9999;TCXTYAH JCRHOCT
3;0041;1,000;ST;00000000-020-0;03;03;01.05.2023;31.12.9999;WIOJWWA COTHLAX
4;0001;5,200;M;00000000-017-5;05;05;01.10.1985;31.12.9999;YIOMWBR BPFCGKZ
4;0016;4,000;ST;00000000-011-7;05;03;01.10.1985;31.12.9999;NSFZNED KJXCQCL
3;0042;1,000;ST;00000000-020-1;03;03;01.05.2023;31.12.9999;VRWZXAK HRQWUNW
3;0043;1,000;ST;00000000-020-2;03;03;01.05.2023;31.12.9999;JLPHWMC NQBYZLR
3;0044;1,000;ST;00000000-020-3;03;03;01.05.2023;31.12.9999;NDLMAKN KVIQBIP
3;0067;1,000;ST;00000000-020-4;03;03;01.05.2023;31.12.9999;RXNCIES DEAPNUI
3;0068;4,900;M;00000000-018-0;05;03;01.05.2023;31.12.9999;OKRXAJR GZQGCNS
3;0069;1,000;ST;00000000-020-5;03;03;01.05.2023;31.12.9999;BUAYPTT NEJUDIZ
4;0001;1,000;ST;00000000-020-6;03;03;01.10.1985;31.12.9999;BUAYPTT NEJUDIZ
4;0016;4,000;ST;00000000-009-0;05;03;01.10.1985;31.12.9999;KDMZVNI ONJFRKY
4;0017;4,000;ST;00000000-009-9;05;03;01.10.1985;31.12.9999;WDPIFKS EMGRROX
3;0070;1,000;ST;00000000-020-7;03;03;01.05.2023;31.12.9999;PHQVENW SOWQHYK
3;0071;1,000;ST;00000000-020-8;06;01;01.05.2023;31.12.9999;ZLXMQEJ AHSLPVD
4;0001;1,000;ST;00000000-020-9;03;03;01.10.1997;31.12.9999;TEIFVTN XJUJGMI
4;0016;2,000;ST;00000000-006-1;05;03;01.07.2005;31.12.9999;EXXHSVY QDFACKM
3;0072;1,000;ST;00000000-021-0;03;03;01.05.2023;31.12.9999;GEHIVJO TMHNEPP
4;0001;1,000;ST;00000000-021-1;03;03;01.10.1985;31.12.9999;GEHIVJO TMHNEPP
4;0016;2,000;ST;00000000-010-3;05;03;01.10.1985;31.12.9999;QLIRXPX ZJOZQPV
3;0073;4,000;ST;00000000-021-2;03;03;01.05.2023;31.12.9999;ZYJOSSZ KOLMEWB
4;0001;4,000;ST;00000000-021-3;03;03;01.10.1985;31.12.9999;ZYJOSSZ KOLMEWB
5;0001;0,512;M;00000000-021-4;05;05;01.10.1985;31.12.9999;BCDJSAU DLDTMPZ
4;0016;8,000;ST;00000000-021-5;05;03;01.10.1985;31.12.9999;RASRDYX LKUOTIV
